Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Application,Average Number of Offer,Largest Type Object Set,Cost,Lane Optionality,n
3,6,0.5594746999999956,0.5271608999999984,0.03231379999999717,31,0.0,0.0,0,6,0,2
3,7,0.28025360000000177,0.25521009999999933,0.02504350000000244,26,0.0,0.0,0,8,0,2
3,8,0.2814036000000044,0.25437900000000013,0.027024600000004284,25,0.0,0.0,0,4,0,2
3,9,0.35512549999999976,0.33216140000000394,0.022964099999995824,23,0.0,0.0,0,14,0,2
4,5,0.17251100000000008,0.15215049999999763,0.020360500000002446,18,0.0,0.0,0,4,0,2
4,6,0.4561630999999977,0.4298876000000007,0.02627549999999701,25,0.0,0.0,0,16,0,2
4,7,0.20164630000000017,0.17997159999999468,0.021674700000005487,20,0.0,0.0,0,4,0,2
4,8,0.22940129999999925,0.20850910000000056,0.020892199999998695,19,0.0,0.0,0,8,0,2
4,9,0.1850904,0.1672177000000019,0.017872699999998076,17,0.0,0.0,0,8,0,2
5,6,0.4788304999999937,0.45193259999999924,0.02689789999999448,27,0.0,0.0,0,14,0,2
5,7,0.18400069999999857,0.16281639999999697,0.0211843000000016,22,0.0,0.0,0,0,0,2
5,8,0.24220059999999677,0.21962560000000053,0.022574999999996237,21,0.0,0.0,0,4,0,2
5,9,0.21794409999999687,0.198723600000001,0.019220499999995866,19,0.0,0.0,0,6,0,2
6,7,0.6246470000000031,0.5974713000000023,0.027175700000000802,29,0.0,0.0,0,14,0,2
6,8,0.48667879999999997,0.45899359999999945,0.02768520000000052,28,0.0,0.0,0,10,0,2
6,9,0.3166077999999999,0.2908860000000004,0.025721799999999462,26,0.0,0.0,0,16,0,2
7,8,0.23349509999999896,0.209735000000002,0.023760099999996953,23,0.0,0.0,0,4,0,2
7,9,0.2567978000000011,0.2373298000000048,0.019467999999996266,21,0.0,0.0,0,6,0,2
8,9,0.25413179999999613,0.2316316999999941,0.02250010000000202,20,0.0,0.0,0,10,0,2
