Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Object Instances,Average Number of Materials,Largest Type Object Set,Cost,Lane Optionality,n
4,6,0.4412029000000004,0.4002611000000016,0.04094179999999881,25,7.0,1.0,1,2,0,4
4,7,0.4007018000000002,0.36453980000000286,0.03616199999999736,26,7.0,1.0,1,2,0,4
5,6,0.5637622000000064,0.5251876000000024,0.03857460000000401,25,7.0,1.0,1,2,0,4
5,7,0.41604420000000175,0.3781599,0.03788430000000176,26,7.0,1.0,1,2,0,4
6,7,0.372167300000001,0.34008229999999884,0.03208500000000214,21,7.0,1.0,1,0,0,4
0,1,0.6248238000000157,0.5765376000000089,0.04828620000000683,23,7.0,1.0,1,0,0,8
0,2,0.5210462000000007,0.47144289999999955,0.04960330000000113,23,7.0,1.0,1,0,0,8
0,3,0.8003656000000063,0.740856100000002,0.05950950000000432,28,7.0,1.0,1,0,0,8
0,4,0.6978586000000035,0.6388654000000002,0.0589932000000033,28,7.0,1.0,1,0,0,8
0,5,0.5212266000000056,0.47136120000000403,0.049865400000001614,23,7.0,1.0,1,0,0,8
0,6,0.5728386999999913,0.5212296999999921,0.05160899999999913,24,7.0,1.0,1,0,0,8
0,7,0.6164052000000169,0.5683823000000103,0.04802290000000653,22,7.0,1.0,1,0,0,8
1,2,0.7367511999999863,0.6838410999999951,0.05291009999999119,24,7.0,1.0,1,0,0,8
1,3,0.9651389999999935,0.9028732000000019,0.0622657999999916,29,7.0,1.0,1,0,0,8
1,4,0.8606128999999925,0.7982013999999964,0.06241149999999607,29,7.0,1.0,1,0,0,8
1,5,0.8246684000000215,0.7721983000000137,0.05247010000000785,24,7.0,1.0,1,0,0,8
1,6,0.7248696000000052,0.6748930000000115,0.04997659999999371,25,7.0,1.0,1,0,0,8
1,7,0.8139825999999886,0.7610558999999881,0.05292670000000044,23,7.0,1.0,1,0,0,8
2,3,0.7590570999999926,0.695912100000001,0.06314499999999157,29,7.0,1.0,1,0,0,8
2,4,0.9040098999999913,0.8424627999999927,0.06154709999999852,29,7.0,1.0,1,0,0,8
2,5,0.6708552000000054,0.6162960999999996,0.054559100000005856,24,7.0,1.0,1,0,0,8
2,6,0.5242460999999992,0.4743454999999983,0.04990060000000085,25,7.0,1.0,1,0,0,8
2,7,0.8289740999999964,0.7761917999999923,0.052782300000004057,23,7.0,1.0,1,0,0,8
