Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Application,Average Number of Offer,Largest Type Object Set,Cost,Lane Optionality,n
4,6,3.2146014999999863,3.1751448999999923,0.03945659999999407,32,0.0,0.0,0,0,0,4
4,7,6.029351899999995,5.972570499999989,0.05678140000000553,40,0.0,0.0,0,0,0,4
4,8,0.6833158000000026,0.6465360999999916,0.03677970000001096,24,0.0,0.0,0,2,0,4
4,9,0.32615100000001007,0.29368669999999497,0.0324643000000151,19,0.0,0.0,0,0,0,4
5,6,3.279288000000008,3.2410422000000096,0.03824579999999855,36,0.0,0.0,0,2,0,4
5,7,5.3145252999999855,5.2688633999999865,0.04566189999999892,44,0.0,0.0,0,2,0,4
5,8,0.6442547000000047,0.6095511999999985,0.034703500000006215,28,0.0,0.0,0,0,0,4
5,9,0.4886008000000288,0.4581519000000185,0.030448900000010326,23,0.0,0.0,0,6,0,4
6,7,9.687973300000039,9.63330910000002,0.054664200000019036,52,0.0,0.0,0,0,0,4
6,8,3.4603017000000023,3.4209347000000037,0.0393669999999986,36,0.0,0.0,0,2,0,4
6,9,2.525437100000005,2.4903833999999847,0.03505370000002017,31,0.0,0.0,0,0,0,4
7,8,6.3271885999999995,6.280502200000001,0.046686399999998685,44,0.0,0.0,0,2,0,4
7,9,5.049969400000009,5.005494300000009,0.04447509999999966,39,0.0,0.0,0,4,0,4
8,9,0.3833737999999869,0.3511507999999992,0.03222299999998768,23,0.0,0.0,0,2,0,4
0,1,0.5117818999999599,0.4744256999999834,0.037356199999976525,29,0.0,0.0,0,6,0,2
0,2,0.36991159999996626,0.3461694999999736,0.02374209999999266,24,0.0,0.0,0,20,0,2
0,3,0.48169409999997015,0.45552329999998165,0.026170799999988503,27,0.0,0.0,0,14,0,2
0,4,0.7286575000000539,0.7005779000000416,0.028079600000012306,31,0.0,0.0,0,14,0,2
0,5,0.5740369000000669,0.5436076000000298,0.030429300000037074,31,0.0,0.0,0,6,0,2
0,6,0.533769300000074,0.5081800000000385,0.025589300000035564,28,0.0,0.0,0,18,0,2
0,7,0.6413029999999935,0.6139679999999998,0.02733499999999367,30,0.0,0.0,0,18,0,2
0,8,0.5690212000000088,0.5440290000000232,0.024992199999985587,26,0.0,0.0,0,18,0,2
0,9,0.32976350000001275,0.30396660000002385,0.02579689999998891,26,0.0,0.0,0,16,0,2
1,2,0.26710819999993873,0.24508909999997286,0.022019099999965874,19,0.0,0.0,0,16,0,2
1,3,0.27698200000003226,0.2515622000000235,0.025419800000008763,22,0.0,0.0,0,8,0,2
1,4,0.2898647000000665,0.2642284000000359,0.025636300000030587,26,0.0,0.0,0,8,0,2
1,5,0.26721319999995785,0.23714899999998806,0.030064199999969787,26,0.0,0.0,0,0,0,2
1,6,0.27502019999997174,0.25197579999996833,0.023044400000003407,23,0.0,0.0,0,12,0,2
1,7,0.2781274999999823,0.2545939999999973,0.023533499999984997,25,0.0,0.0,0,12,0,2
1,8,0.2728109999999333,0.250058499999966,0.022752499999967313,21,0.0,0.0,0,12,0,2
1,9,0.38559060000000045,0.3626279999999724,0.022962600000028033,21,0.0,0.0,0,14,0,2
2,3,0.19203200000004017,0.17382520000001023,0.018206800000029943,17,0.0,0.0,0,8,0,2
2,4,0.25230920000001333,0.23295410000002903,0.019355099999984304,21,0.0,0.0,0,8,0,2
2,5,0.2900659000000019,0.2682305999999812,0.021835300000020652,21,0.0,0.0,0,16,0,2
2,6,0.16071209999995517,0.14385719999995672,0.01685489999999845,18,0.0,0.0,0,4,0,2
2,7,0.1866084000000683,0.16885080000002972,0.017757600000038565,20,0.0,0.0,0,4,0,2
2,8,0.13825769999999693,0.12185299999998733,0.016404700000009598,16,0.0,0.0,0,4,0,2
2,9,0.14113509999998541,0.12465779999996585,0.016477300000019568,16,0.0,0.0,0,4,0,2
3,4,0.18651849999997694,0.16497119999996812,0.021547300000008818,24,0.0,0.0,0,0,0,2
3,5,0.2792772000000241,0.25413389999999936,0.025143300000024738,24,0.0,0.0,0,8,0,2
3,6,0.19617560000000367,0.1758719000000042,0.02030369999999948,21,0.0,0.0,0,4,0,2
3,7,0.20170389999998406,0.18079849999998032,0.020905400000003738,23,0.0,0.0,0,4,0,2
3,8,0.19041310000000067,0.1709357999999952,0.01947730000000547,19,0.0,0.0,0,4,0,2
3,9,0.23263400000001866,0.21282380000002377,0.019810199999994893,19,0.0,0.0,0,6,0,2
4,5,0.3704650999999899,0.343640999999991,0.026824099999998907,28,0.0,0.0,0,8,0,2
4,6,0.20863520000000335,0.18750610000000734,0.021129099999996015,25,0.0,0.0,0,4,0,2
4,7,0.21358079999998836,0.19235270000001492,0.021228099999973438,27,0.0,0.0,0,4,0,2
4,8,0.19684089999998378,0.17630279999997356,0.020538100000010218,23,0.0,0.0,0,4,0,2
4,9,0.3339738999999895,0.31320490000001655,0.020768999999972948,23,0.0,0.0,0,6,0,2
5,6,0.2906050999999934,0.2662179000000151,0.024387199999978293,25,0.0,0.0,0,12,0,2
5,7,0.28507450000000745,0.25997460000002093,0.02509989999998652,27,0.0,0.0,0,12,0,2
5,8,0.27954750000003514,0.2548484000000144,0.024699100000020735,23,0.0,0.0,0,12,0,2
5,9,0.35058539999999994,0.3256178000000318,0.024967599999968115,23,0.0,0.0,0,14,0,2
6,7,0.15432490000006283,0.13395840000004,0.020366500000022825,24,0.0,0.0,0,0,0,2
6,8,0.15758809999999812,0.1395666000000233,0.01802149999997482,20,0.0,0.0,0,0,0,2
6,9,0.2025940999999989,0.1828322000000071,0.019761899999991783,20,0.0,0.0,0,2,0,2
7,8,0.15152589999996735,0.1319515999999794,0.019574299999987943,22,0.0,0.0,0,0,0,2
7,9,0.26497810000000754,0.24498080000000755,0.019997299999999996,22,0.0,0.0,0,2,0,2
8,9,0.16306559999998171,0.1447238000000084,0.01834179999997332,18,0.0,0.0,0,2,0,2
0,1,4.2835883000000194,4.22932579999997,0.05426250000004984,39,0.0,0.0,0,2,0,4
0,2,6.8196183999999676,6.763426299999992,0.05619209999997565,44,0.0,0.0,0,0,0,4
0,3,10.04773560000001,9.992663100000016,0.05507249999999431,52,0.0,0.0,0,0,0,4
