Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Object Instances,Average Number of Materials,Largest Type Object Set,Cost,Lane Optionality,n
0,3,0.3339782999999983,0.302872899999997,0.031105400000001282,19,7.0,1.0,1,2,0,4
0,4,0.5495682000000031,0.5135268000000011,0.036041400000002,24,7.0,1.0,1,2,0,4
0,5,0.44809829999999806,0.411399099999997,0.03669920000000104,24,7.0,1.0,1,2,0,4
0,6,0.33439619999999337,0.30333929999999754,0.031056899999995835,19,7.0,1.0,1,0,0,4
0,7,0.3023878999999994,0.2757505000000009,0.02663739999999848,20,7.0,1.0,1,0,0,4
1,2,0.3036613000000017,0.2751049000000023,0.02855639999999937,19,7.0,1.0,1,0,0,4
1,3,0.29576090000000477,0.2650014999999968,0.030759400000007986,19,7.0,1.0,1,0,0,4
1,4,0.3951654999999903,0.3591187999999903,0.03604669999999999,24,7.0,1.0,1,0,0,4
1,5,0.5248445000000004,0.4890843000000018,0.035760199999998576,24,7.0,1.0,1,0,0,4
1,6,0.33810320000000615,0.30850300000000175,0.029600200000004406,19,7.0,1.0,1,2,0,4
1,7,0.30729990000000384,0.2800615000000022,0.02723840000000166,20,7.0,1.0,1,2,0,4
2,3,0.36202330000000416,0.3302726000000007,0.03175070000000346,20,7.0,1.0,1,0,0,4
2,4,0.4614789999999971,0.42442039999998826,0.03705860000000882,25,7.0,1.0,1,0,0,4
2,5,0.47249680000001604,0.4356455000000068,0.036851300000009246,25,7.0,1.0,1,0,0,4
2,6,0.5041492999999946,0.47248530000000244,0.03166399999999214,20,7.0,1.0,1,2,0,4
2,7,0.3972882999999996,0.3684367000000037,0.02885159999999587,21,7.0,1.0,1,2,0,4
3,4,0.46136569999998756,0.420670599999994,0.040695099999993545,25,7.0,1.0,1,0,0,4
3,5,0.48005520000000956,0.43965550000000064,0.04039970000000892,25,7.0,1.0,1,0,0,4
3,6,0.46300189999999475,0.4295620999999983,0.03343979999999647,20,7.0,1.0,1,2,0,4
3,7,0.3746189999999956,0.3434656000000018,0.03115339999999378,21,7.0,1.0,1,2,0,4
4,5,0.7517122999999941,0.7013854000000066,0.05032689999998752,30,7.0,1.0,1,0,0,4
4,6,0.4362608999999935,0.397566800000007,0.03869409999998652,25,7.0,1.0,1,2,0,4
4,7,0.4053467000000097,0.3683903000000015,0.036956400000008216,26,7.0,1.0,1,2,0,4
5,6,0.44189140000000293,0.40009580000000255,0.04179560000000038,25,7.0,1.0,1,2,0,4
5,7,0.4170348999999902,0.3794354999999996,0.037599399999990624,26,7.0,1.0,1,2,0,4
6,7,0.4938482000000022,0.46310259999999914,0.030745600000003037,21,7.0,1.0,1,0,0,4
0,1,0.6126494999999892,0.5643579999999986,0.048291499999990606,23,7.0,1.0,1,0,0,8
0,2,0.5231100999999967,0.4732385000000079,0.0498715999999888,23,7.0,1.0,1,0,0,8
0,3,0.8003562000000102,0.741591800000009,0.05876440000000116,28,7.0,1.0,1,0,0,8
0,4,0.6970809999999972,0.6377726999999993,0.05930829999999787,28,7.0,1.0,1,0,0,8
0,5,0.519196100000002,0.4701244000000031,0.04907169999999894,23,7.0,1.0,1,0,0,8
0,6,0.5622664000000128,0.3951609000000076,0.16710550000000524,24,7.0,1.0,1,0,0,8
0,7,0.615411800000004,0.5662360000000035,0.049175800000000436,22,7.0,1.0,1,0,0,8
1,2,0.8659650000000028,0.8139496000000008,0.05201540000000193,24,7.0,1.0,1,0,0,8
1,3,0.8573882999999967,0.7903098999999969,0.06707839999999976,29,7.0,1.0,1,0,0,8
1,4,0.8661332999999871,0.8050487999999945,0.06108449999999266,29,7.0,1.0,1,0,0,8
1,5,0.8300490000000025,0.6533876000000021,0.1766614000000004,24,7.0,1.0,1,0,0,8
1,6,0.7208021000000002,0.6712322999999998,0.04956980000000044,25,7.0,1.0,1,0,0,8
1,7,0.8184339000000023,0.7655926000000051,0.052841299999997204,23,7.0,1.0,1,0,0,8
2,3,0.7603220000000164,0.6985989000000075,0.06172310000000891,29,7.0,1.0,1,0,0,8
2,4,0.9139207000000056,0.8506280000000004,0.0632927000000052,29,7.0,1.0,1,0,0,8
2,5,0.6718103000000184,0.6176962000000117,0.054114100000006715,24,7.0,1.0,1,0,0,8
2,6,0.5242841999999968,0.4745576999999912,0.04972650000000556,25,7.0,1.0,1,0,0,8
2,7,0.8299147999999974,0.7773344000000009,0.05258039999999653,23,7.0,1.0,1,0,0,8
3,4,0.9886018999999919,0.917541099999994,0.07106079999999793,34,7.0,1.0,1,0,0,8
3,5,0.6497048000000092,0.5842181000000011,0.06548670000000811,29,7.0,1.0,1,0,0,8
3,6,0.5610136999999895,0.5009965999999935,0.06001709999999605,30,7.0,1.0,1,0,0,8
3,7,0.8543441000000058,0.7904074000000065,0.06393669999999929,28,7.0,1.0,1,0,0,8
4,5,0.6631590999999872,0.6010828000000004,0.06207629999998687,29,7.0,1.0,1,0,0,8
4,6,0.5825352000000095,0.5216302000000042,0.060905000000005316,30,7.0,1.0,1,0,0,8
4,7,0.8687863999999905,0.679182499999996,0.1896038999999945,28,7.0,1.0,1,0,0,8
5,6,0.5204707000000042,0.4702809000000059,0.050189799999998286,25,7.0,1.0,1,0,0,8
5,7,0.8280156000000005,0.7761018000000064,0.051913799999994126,23,7.0,1.0,1,0,0,8
6,7,0.7201748000000094,0.6710850999999991,0.04908970000001034,24,7.0,1.0,1,0,0,8
0,1,1.60148030000002,1.5081082000000094,0.0933721000000105,23,7.0,1.0,1,0,0,16
0,2,1.7767649000000176,1.6722761000000048,0.10448880000001282,28,7.0,1.0,1,0,0,16
0,3,1.9357551999999885,1.6954503000000045,0.24030489999998395,28,7.0,1.0,1,0,0,16
0,4,1.5991056999999955,1.505872299999993,0.09323340000000258,23,7.0,1.0,1,0,0,16
0,5,1.6010674999999992,1.509893599999998,0.09117390000000114,22,7.0,1.0,1,0,0,16
0,6,1.8232364000000132,1.7288842000000102,0.094352200000003,26,7.0,1.0,1,0,0,16
0,7,2.1136095999999895,2.016442899999987,0.09716670000000249,28,7.0,1.0,1,0,0,16
1,2,1.5779920000000232,1.4721406000000172,0.10585140000000592,25,7.0,1.0,1,0,0,16
1,3,1.7709223000000236,1.665059900000017,0.10586240000000657,25,7.0,1.0,1,0,0,16
1,4,1.4543725999999992,1.361522199999996,0.09285040000000322,20,7.0,1.0,1,0,0,16
1,5,1.2511470999999688,1.1617055999999764,0.0894414999999924,19,7.0,1.0,1,0,0,16
1,6,1.6031840000000273,1.5095451000000253,0.09363890000000197,23,7.0,1.0,1,0,0,16
1,7,1.8143496999999797,1.716448999999983,0.09790069999999673,25,7.0,1.0,1,0,0,16
2,3,1.8603304000000094,1.6045096,0.2558208000000093,30,7.0,1.0,1,0,0,16
